Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.37     0.00      100     0.00     0.00  double* std::__uninitialized_fill_n_a<double*, unsigned long, double, double>(double*, unsigned long, double const&, std::allocator<double>&)
  0.00      2.37     0.00      100     0.00     0.00  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      2.37     0.00      100     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00      2.37     0.00      100     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00      2.37     0.00      100     0.00     0.00  void std::__fill_a<double*, double>(double*, double*, double const&)
  0.00      2.37     0.00      100     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, void>::__type std::__fill_a1<double*, double>(double*, double*, double const&)
  0.00      2.37     0.00       50     0.00     0.00  calculos(std::vector<Coffee, std::allocator<Coffee> >&, int, int, int)
  0.00      2.37     0.00       18     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      2.37     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      2.37     0.00       12     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      2.37     0.00       11     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      2.37     0.00        9     0.00     0.00  std::__new_allocator<int>::_M_max_size() const
  0.00      2.37     0.00        7     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      2.37     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      2.37     0.00        6     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      2.37     0.00        6     0.00     0.00  std::__new_allocator<int>::max_size() const
  0.00      2.37     0.00        6     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      2.37     0.00        6     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      2.37     0.00        6     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      2.37     0.00        6     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      2.37     0.00        6     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      2.37     0.00        6     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      2.37     0.00        4     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      2.37     0.00        4     0.00     0.00  void std::__new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      2.37     0.00        4     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      2.37     0.00        4     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      2.37     0.00        4     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      2.37     0.00        3     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      2.37     0.00        3     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      2.37     0.00        3     0.00     0.00  std::allocator<Coffee>::~allocator()
  0.00      2.37     0.00        3     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      2.37     0.00        3     0.00     0.00  std::__new_allocator<Coffee>::~__new_allocator()
  0.00      2.37     0.00        3     0.00     0.00  std::__new_allocator<int>::deallocate(int*, unsigned long)
  0.00      2.37     0.00        3     0.00     0.00  std::__new_allocator<int>::allocate(unsigned long, void const*)
  0.00      2.37     0.00        3     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      2.37     0.00        3     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      2.37     0.00        3     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      2.37     0.00        3     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      2.37     0.00        3     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      2.37     0.00        3     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      2.37     0.00        2     0.00     0.00  std::__new_allocator<Coffee>::_M_max_size() const
  0.00      2.37     0.00        2     0.00     0.00  std::allocator<Coffee>::allocator(std::allocator<Coffee> const&)
  0.00      2.37     0.00        2     0.00     0.00  std::_Vector_base<Coffee, std::allocator<Coffee> >::_M_get_Tp_allocator()
  0.00      2.37     0.00        2     0.00     0.00  std::__new_allocator<Coffee>::__new_allocator(std::__new_allocator<Coffee> const&)
  0.00      2.37     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      2.37     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      2.37     0.00        1     0.00     0.00  inicial(std::vector<Coffee, std::allocator<Coffee> >&, int)
  0.00      2.37     0.00        1     0.00     0.00  std::__new_allocator<Coffee>::max_size() const
  0.00      2.37     0.00        1     0.00     0.00  std::allocator<Coffee>::allocator()
  0.00      2.37     0.00        1     0.00     0.00  std::allocator<int>::allocator()
  0.00      2.37     0.00        1     0.00     0.00  std::allocator<int>::~allocator()
  0.00      2.37     0.00        1     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      2.37     0.00        1     0.00     0.00  std::_Vector_base<Coffee, std::allocator<Coffee> >::_M_allocate(unsigned long)
  0.00      2.37     0.00        1     0.00     0.00  std::_Vector_base<Coffee, std::allocator<Coffee> >::_Vector_impl::_Vector_impl(std::allocator<Coffee> const&)
  0.00      2.37     0.00        1     0.00     0.00  std::_Vector_base<Coffee, std::allocator<Coffee> >::_Vector_impl::~_Vector_impl()
  0.00      2.37     0.00        1     0.00     0.00  std::_Vector_base<Coffee, std::allocator<Coffee> >::_M_deallocate(Coffee*, unsigned long)
  0.00      2.37     0.00        1     0.00     0.00  std::_Vector_base<Coffee, std::allocator<Coffee> >::_M_create_storage(unsigned long)
